id,created_at,favorite_count,retweet_count,text
1548554984421486592,2022-07-17 06:27:33,7,0,So disappointed in @karanjohar for talking about @SaraAliKhan’s daddy issues on national television and comparing her upbringing to another actresses more “protected” upbringing. Even more disappointed in myself for still watching @koffeewithkaran 🤦‍♀️
1531603799969673216,2022-05-31 11:49:36,3,0,Hmmm not sure if he has a low EQ or he’s just an asshole
1528609168709816321,2022-05-23 05:30:00,1,0,What the actual fuck https://t.co/lpDOhBkeFm
1527993909259149312,2022-05-21 12:45:11,4,0,All of humanity is a social experiment for the universe
1519917862227681282,2022-04-29 05:53:51,7,0,Why didn’t school teach me that the more sexy the job the less the pay 😑
1513887187204464643,2022-04-12 14:30:06,6,0,Apologizing for your privilege is lame; make good use of it instead.
1508463407657525248,2022-03-28 15:17:56,4,0,And the academy award for best actor goes to…@chrisrock for pretending to say calm after that smack. Hot damn.
1507036776254537728,2022-03-24 16:49:01,0,0,@sanchi_dhamija Oh…damn I should have known that. I’m a writer. Hmmm.
1507033635349999616,2022-03-24 16:36:32,4,0,Really liked “Eternally Confused and Eager for Love” but seriously what was with all the excel entertainment songs playing at every party? Lmao
1506713648022319105,2022-03-23 19:25:01,25,0,That awesome feeling when u can feel a good cry stuck in ur chest and u just let it out. Better than any orgasm.
1505415727670517765,2022-03-20 05:27:33,12,0,Being bullied above the age of 25 is so weird. People can’t even comfort you saying “don’t worry they’re gonna grow up to be nobody’s.” They are powerful somebody’s which is why they bully!
1501840177391861766,2022-03-10 08:39:35,1,0,@AnnyThakkar Hmmm ok u seem to know what I’m talking about
1501829526242066435,2022-03-10 07:57:16,6,0,Give me a barf if you cringe at that startup founder who makes his wife (with zero skills) the head of HR and Marketing cuz they’re “soft skills” best handled by the ladies log.  🤢🤢🤢
1496559578473201664,2022-02-23 18:56:22,11,0,"I watched Gehraiya and Inventing Anna and all I gather is that regardless of country, people in their 20s with zero work experience are constantly pitching ideas to investors in yachts demanding millions for their “potential” without any research in the product they want to sell."
1496501560263729155,2022-02-23 15:05:50,11,0,I have the same glasses as Anna Delvey. Am I a fashion icon? https://t.co/RLiYCF47u4
1493802796667502593,2022-02-16 04:21:54,0,0,@chaudharymansi1 Please call any of these numbers https://t.co/vEmkXVpHwE
1491346548131008512,2022-02-09 09:41:39,0,0,@Agrimonious Yes but thankfully they didn’t flail the confederate flag.
1491340556592881669,2022-02-09 09:17:51,8,0,@Agrimonious Hahaha yes absolutely. It was hilarious and sad at the same time.
1485987284315156480,2022-01-25 14:45:51,1,0,@aNuSFW No they monitor my mood.
1485940517548740617,2022-01-25 11:40:01,26,4,I don’t use a period tracker anymore. I know my period is just hours away when I start getting Instagram ads from Nua cramp comfort.
1485602062738296833,2022-01-24 13:15:07,22,0,"Man U feel so icky when you realise u have been exploited in the past, but didn’t realise it back then because you were naive and trusting."
1483641439334854657,2022-01-19 03:24:18,0,0,@teapot_404 Hahahaha
1483528351839289344,2022-01-18 19:54:56,2,0,"Wordle 214 4/6

⬛🟩⬛🟨⬛
🟨🟩⬛⬛⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩 #DailyWordleClub #Wordle #wordle214 #addicted"
1482397669792575488,2022-01-15 17:02:00,0,0,@BectorRathin Huh
1482390044610818048,2022-01-15 16:31:42,4,0,"Buying a pretty pop socket, sticking it on to the back of your phone and realising that you can’t click a photo of it is a different kind of pain. 😢"
1482343865797414913,2022-01-15 13:28:12,1,0,@rohshah07 @srastogi84 I’m too proud. She should text first!
1482330573020745728,2022-01-15 12:35:23,0,0,@srastogi84 @rohshah07 Or maybe my therapist committed suicide. Hmmm.
1482322233112817667,2022-01-15 12:02:15,2,0,@srastogi84 @rohshah07 People go to therapists with suicidal thoughts and their most vulnerable selves. It’s worse than being ghosted by a dude or a client.
