id,created_at,favorite_count,retweet_count,text
1545474655842091009,2022-07-08 18:27:26,1902,60,"For those of you asking - no I did not find @ReheSamay’s joke offensive at all. 
Ok good chat, sleep well! ❤️"
1545472922877399042,2022-07-08 18:20:32,407,21,"Comedians you spend your time complaining about the left wing and right wing- ones trying to cancel you the other arrest you. But have you ever stopped to thank them… for the free PR and increase in social media numbers with every controversy? 
Show some god damn gratitude!"
1543418797616406528,2022-07-03 02:18:11,0,0,@SadhguruJV ? https://t.co/enwlK2RlN5
1542243371581935618,2022-06-29 20:27:27,5,0,Yo @ATT you guys gave me a number that belongs to someone else. I have a lot of personal information of hers (including her home address) that keeps coming up in messages. This is  messed up and a huge security risk. Hoping she’s not receiving any of my info. dm me to fix this.
1538016013211402240,2022-06-18 04:29:27,1,0,@tarundham Check out Improv All Stars or Something From Nothing on @PrimeVideoIN
1537667347082891265,2022-06-17 05:23:58,0,0,@VishalDadlani ❤️❤️❤️
1536560644241211392,2022-06-14 04:06:20,56,2,@VishalDadlani @navikakumar Yup
1528406087577309187,2022-05-22 16:03:02,7,0,@rickygervais Yas!
1528405670290198528,2022-05-22 16:01:22,2,0,@ShubnumKhan Ya! Extra iron
1520289289862529025,2022-04-30 06:29:46,6,0,@ReallySwara @OldigesCH @senarup11 @TankhaA 😘
1513254771221831702,2022-04-10 20:37:07,0,0,"@debayansen @VinayDokania That was @kunalvijayakar, @Broacha_Cyrus and the team. Hahaha"
1513130320123547648,2022-04-10 12:22:35,3,0,@debayansen @VinayDokania Oh hahah completely improvised.
1513121819749924867,2022-04-10 11:48:48,2,0,@VinayDokania Correct.
1512438981031604228,2022-04-08 14:35:27,4,0,@roomynaqvy @mrgnk @sangeetasanghvi @RahulGandhi @VinayDokania I was born into a Bohri muslim family ❤️
1508479182585700365,2022-03-28 16:20:37,2520,66,"@jaden Where does it stop, where does it start? can the men who threaten me with rape for some of my jokes that offend them rape me now? What kind of violence is acceptable, who decides what is offensive? I’m genuinely curious how it’s ‘going to be done’ from now on?"
1508402057216204803,2022-03-28 11:14:09,58,3,Assaulted for doing his job … https://t.co/QZRazmPxIq
1506905406580346880,2022-03-24 08:07:00,820,191,"Gopal Datt with SRK and Anurag?😍 What an #ad, Hotstar really does have it all! #ThodaRukShahRukh https://t.co/QIgfQya4BZ"
1504719770897244176,2022-03-18 07:22:04,156,42,@amazonIN seemingly blocking @RanaAyyub’s book - The Gujarat Files’ from being sold. Slightly alarming. @JeffBezos @amazon - something to look into. https://t.co/H494vqwkS0
1500340061459689472,2022-03-06 05:18:40,1,0,@broken_floppy @sumanthraman @SKS5706 @SaketGokhale Correct. And It’s okay to say ‘I was wrong’ if you were wrong.
1500111022467825669,2022-03-05 14:08:33,7,1,"Cape Town! Tomorrow night! @KatePinchuck and I do 30mins of our thang. With wondeful@host and person @nikrabinowitz! Come! 

https://t.co/30In3se6EM https://t.co/BYQjnPwRGH"
1498429499439992836,2022-02-28 22:46:46,8,0,Thank you @YesReallyAngel 😘❤️ https://t.co/SshCPnciLY
1496356433822203904,2022-02-23 05:29:09,2,0,@Ya_a_seen_Him Wow
1496136344657141760,2022-02-22 14:54:36,1,0,@supriyan That’s sooo funny hahahahhaaha
1496119096047718400,2022-02-22 13:46:03,11,0,Hahahhaahahaha https://t.co/L7W3j7vlaG
1494309198510833666,2022-02-17 13:54:10,29,0,"There are so many people on the internet. 

Cool - you may carry on with what you were doing."
1493951390334566406,2022-02-16 14:12:22,0,0,@itz_me_anish Hahahahahhaahah
1493831049339711493,2022-02-16 06:14:10,12,0,This is a long way of saying I need more nini.
1493830868384763904,2022-02-16 06:13:27,2,0,@NiramayC ‘How to add hours to your day’ hahahahahah ❤️❤️🥰
1493829944983568385,2022-02-16 06:09:47,24,1,"Man there are so many people to spend time with, shows to do, work to be completed, fun things to do, places to visit, future to plan and so little time in the day to do it all. #thisweeksvibe"
1493636420317196290,2022-02-15 17:20:47,273,13,"Um I feel like it would be awkward to go to my exes house, get into his bed and just start laughing… https://t.co/AhIFPweXb1"
