id,created_at,favorite_count,retweet_count,text
1550478321766395904,2022-07-22 13:50:13,6287,455,https://t.co/bk9OQW25XE
1550478282696556545,2022-07-22 13:50:03,17539,1365,.@papermagazine https://t.co/RU2tzGNUOi
1550034239965773826,2022-07-21 08:25:35,2135,310,"Best wishes to team #Liger - https://t.co/o0jKK2CGsJ

@MikeTyson @TheDeverakonda @ananyapandayy @karanjohar @Charmmeofficial @apoorvamehta18 @RonitBoseRoy @meramyakrishnan @IamVishuReddy @VikramMontrose @DharmaMovies @PuriConnects @sonymusicindia @SonyMusicSouth @AAFilmsIndia"
1546019732352299013,2022-07-10 06:33:22,9061,407,Tell me about the time where you went………. https://t.co/jDCOydu8GZ
1545329660195905539,2022-07-08 08:51:16,1537,134,"Kya bolti public, Darega ya Karega? Ab toh janta hi bataayega 🔥🔥🔥
#RanveerVsWildWithBearGrylls is NOW STREAMING ON NETFLIX!!!

@netflixindia @beargrylls @banijayasia @banijaygroup https://t.co/IA0U2GzUoe"
1545026597711134720,2022-07-07 12:47:00,190,10,@netflixindia @beargrylls @banijayasia @banijaygroup @deepak30000 @NegiR @DelbertShoopman #KaranBhatia #KhuzemaHaveliwala @Mrinalini_J #GargiPawar #ManishThakur #GirishBalan #YashSingh #AamirSheikh
1545026592745070592,2022-07-07 12:46:59,1167,106,"Just a few more snoozes before I go on the wildest adventure of my life 😤⏰
I'm getting ready to take it ALL on for the love of my life ❤️
#RanveerVsWildWithBearGrylls only on Netflix on 8th July 👊 https://t.co/3n2qVD5ylE"
1544920005699334144,2022-07-07 05:43:27,259,14,. @netflixindia @beargrylls  @banijayasia @banijaygroup @deepak30000 @NegiR @DelbertShoopman #KaranBhatia #KhuzemaHaveliwala @Mrinalini_J #GargiPawar #ManishThakur #GirishBalan #YashSingh #AamirSheikh
1544919274867007488,2022-07-07 05:40:32,1672,133,"Menu mein kya hai? Aap hi batao!
You decide what I eat, where I go, how I sleep. Sab kuch! Catch India’s first interactive special - Ranveer Vs Wild With Bear Grylls, only on Netflix. Dropping July 8th.
#RanveerVsWildWithBearGrylls https://t.co/hKlj7CXteN"
1544301939357126656,2022-07-05 12:47:28,274,14,@netflixindia @beargrylls @banijayasia @banijaygroup @deepak30000 @NegiR @DelbertShoopman #KaranBhatia #KhuzemaHaveliwala @Mrinalini_J #GargiPawar #ManishThakur #GirishBalan #YashSingh #AamirSheikh
