id,created_at,favorite_count,retweet_count,text
1553345403038232576,2022-07-30 11:42:58,571,34,@riythvika @AmalaPaulProd @thanzeersalam @AnnicePaul6 @dinesh_WM @SureshChandraa @anoop_panicker @thinkmusicindia @disneyplusHSTam
1553345398533632000,2022-07-30 11:42:57,2354,197,"Presenting the trailer of #Cadaver
Best wishes @Amala_ams who turns producer with this :) 
Tamil: https://t.co/LOj5cEw69k
Telugu: https://t.co/UE4uDxrpQS

#CadaverOnDisneyplusHotstar #DisneylusHotstarMultiplex @harishuthaman @ThrigunAactor @AthulyaOfficial https://t.co/N1GkmPijqk"
1552830303156051968,2022-07-29 01:36:09,4454,593,"#OnceUponATime 🚀
Kuala Lumpur Sep 17 Axiata Arena 🇲🇾

I didn’t announce the tickets and we sold out already 🥁

Now, let’s go crazy 🕺💃

Thank you @sidharthvish and team for this video! @sidd_rao @nixyyyyyy https://t.co/8ItUqn07or"
1552630618286362624,2022-07-28 12:22:40,27348,2774,Happy birthday my bro @dhanushkraja ! Hope the year ahead brings greater laurels and accolades 🤗
1552282923885203457,2022-07-27 13:21:03,3657,904,"#LifeofPazham ☺️☺️☺️ #DnA 

▶️ https://t.co/WNW5X2EwJa

@dhanushkraja 💥💥💥
@Lyricist_Vivek 😊😊😊

@sunpictures #Bharathiraja @prakashraaj @MithranRJawahar @MenenNithya @RaashiiKhanna_ @priya_Bshankar  @silvastunt @omdop @editor_prasanna @jacki_art @theSreyas"
1550508702587039744,2022-07-22 15:50:56,2333,175,"Super trailer of #PaperRocket - https://t.co/5f2sT6NFZH
Directed by @astrokiru 🥳
Best wishes @kalidas700 @actortanya  @gourayy @kaaliactor @riseeastcre @simonkking @dharankumar_c @svedshanker @nambessan_ramya @Richardmnathan @editorkishore @thinkmusicindia @lyricist_vivek"
1550443088425848832,2022-07-22 11:30:12,2029,153,"Here is the gripping trailer of  #PoikkalKuthirai, Film in theatres from Aug 5th💥

#PoikkalKuthiraiTrailer -&gt; https://t.co/5iHpWwElIN

@PDdancing @santhoshpj21 @varusarath5 @raizawilson @Vinod_offl @immancomposer @ministudiosllp @madhankarky @darkroompic @mrtmusicoff @proyuvraaj https://t.co/wL13uBwroD"
1550052618675752960,2022-07-21 09:38:37,3858,264,@Jasmineerica___ @actorvijay @sunpictures @hegdepooja @Le_Sajbro @kebajer @Nelsondilpkumar 💥💥💥
1549390756422782976,2022-07-19 13:48:37,5839,522,"Funnnn fun funn! @Music_Santhosh performance kalakkal.. @MrRathna As i already said, GuluGulu will win ❤️ @iamsanthanam 😃 https://t.co/Rgqro7ERaf"
1549319880113287168,2022-07-19 09:06:59,11539,974,"#OnceUponATime tour 
Axiata Arena, Kuala Lumpur
Tickets open on July 25 :) https://t.co/4WGrupRU85"
1549036350565154819,2022-07-18 14:20:20,7358,973,"#OnceUponATime tour 🚀

Malaysia, it’s been a while and I’m back 🇲🇾
17 Sept 2022 💥
Axiata Arena, Bukit Jalil 🔥

Aarambikalaangala 🕺💃

#mcentertainmentmy
#tourismmalaysia
#cuticutimalaysia
@ahatamil https://t.co/ujBWRWb4un"
1547930319650562049,2022-07-15 13:05:22,7576,634,@mmkeeravaani Love you sir ❤️
1547923403901784066,2022-07-15 12:37:53,5159,1227,"Here we go! #MeghamKarukatha - https://t.co/bf1WFrtnFe

Jazzy fun vibes from #DnA in #Thiruchitrambalam
@dhanushkraja @MithranRJawahar @MenenNithya @RaashiiKhanna_ @priya_Bshankar @AlwaysJani @theSreyas @sunpictures"
1547893650721370120,2022-07-15 10:39:39,6353,986,#Maaveeran is lookin awesome 🥳 All the best brothers @Siva_Kartikeyan @madonneashwin @iamarunviswa @bharathsankar12 @philoedit @ShanthiTalkies for a blast 🤗 https://t.co/IVRHCEepeS
1547215105321889792,2022-07-13 13:43:21,8648,1150,"Once upon a time tour 🕺💃
Malaysia, I’m #vibingsoon with y’all :) stay tuned for updates 🥳

#mcentertainmentmy
#tourismmalaysia
#cuticutimalaysia https://t.co/qQSnuMTNj8"
1546753165332074498,2022-07-12 07:07:46,15187,1852,"#VikramOST #VikramBGM album debuts at no.5 on the global @spotifycharts 🚀Special moment for all of us 😍Love you fans and music lovers 🥳
@ikamalhaasan @Dir_Lokesh @RKFI @RedGiantMovies_ @turmericmediaTM @SonyMusicSouth https://t.co/jClv4zYTS5"
1546106824038182915,2022-07-10 12:19:26,24016,5523,"#ArabicKuthu still on 🔥 No.1 music video on @YouTube Global charts 🏅 
Thalapathy @actorvijay sir 🚀@Nelsondilpkumar @hegdepooja https://t.co/5W6wGCGMMi"
1546064011632218112,2022-07-10 09:29:19,67436,3889,Wave after wave 🌊 https://t.co/bD1UGNiFrF
1545372614759026688,2022-07-08 11:41:57,5137,463,#GuluGulu will win 🚀👌 https://t.co/Gn9TWDw8KA
1545362111622221825,2022-07-08 11:00:13,10796,1975,"#VikramOST now on YouTube!
https://t.co/4oMEy6LvM4

Thank you fans and music lovers 🙏🏻

@ikamalhaasan
@Dir_Lokesh @Suriya_offl @VijaySethuOffl @Udhaystalin @rkfi @turmericmediaTM @SonyMusicSouth #VikramBGM"
1545341250274205697,2022-07-08 09:37:19,7318,494,@MSPMovieManiac ❤️🤗❤️
1545040041944043520,2022-07-07 13:40:26,24162,2908,"@Dir_Lokesh Lokiverse, activated 🚀"
1545024044965056513,2022-07-07 12:36:52,11216,1186,"Happy to release #GargiTrailer!
https://t.co/67TIS8byYP

Best wishes to the entire team :) 
@Suriya_offl #Jyotika @2D_ENTPVTLTD @rajsekarpandian @Sai_Pallavi92 @blacky_genie @prgautham83 #AishwaryaLekshmi #Govindvasantha @kaaliactor @SakthiFilmFctry @APIfilms"
1545023215344295939,2022-07-07 12:33:34,19885,5379,"#VikramOST #VikramBGM 
https://t.co/jFt4Avdq7W

Thank you fans and music lovers 🙏🏻
Big ups to my team and the hundreds of musicians around the world who made this special ❤️
@ikamalhaasan @Dir_Lokesh @Suriya_offl @VijaySethuOffl @Udhaystalin @RKFI @turmericmediaTM @SonyMusicSouth"
1544931845170610176,2022-07-07 06:30:29,43304,7014,"#VikramOST today at 6pm 🥁

@ikamalhaasan @Dir_Lokesh @RKFI @SonyMusicSouth @turmericmediaTM"
1544868487650476032,2022-07-07 02:18:44,69953,7029,Happy birthday dearest @msdhoni 🥳🥳🥳 #7 forever ❤️❤️❤️ https://t.co/G7zWGY2ENZ
