id,created_at,favorite_count,retweet_count,text
1553251831576334336,2022-07-30 05:31:09,390,19,".@Riteishd!! Don’t talk to me, talk to my lawyer @varunsharma90!👨‍⚖️
 Kyunki aa raha hoon main on #CaseTohBantaHai only on @amazonminiTV! https://t.co/lEUGlAAFqG"
1553102302646378496,2022-07-29 19:36:58,182,11,🙏👍👍👍❤️ #koffeequotetweet https://t.co/NH2NZ12FPh
1553102081031933952,2022-07-29 19:36:06,192,12,I am doing something! It’s so much better than nothing! Na?#koffeequotetweet https://t.co/bmp2NS1vCR
1553101791549476864,2022-07-29 19:34:56,150,3,Yes it is Rajat!❤️ #koffeequotetweet https://t.co/0pJEDa6KAN
1553099203827486720,2022-07-29 19:24:40,108,4,Grateful! #koffeequotetweet https://t.co/hYWaThnTU5
1553098261103198208,2022-07-29 19:20:55,499,37,I was Slammed??? Damn! I have been living under a rock! #koffeequotetweet https://t.co/r6zFnyKgKx
1553098015413440513,2022-07-29 19:19:56,149,15,Ya it can be! I agree! Now what to do ? #koffeequotetweet https://t.co/4bWTrBpu10
1553097791655751680,2022-07-29 19:19:03,124,2,😂😂😂😂 #koffeequotetweet my new word is Syntax! https://t.co/o6X2xBWge4
1553097655097520128,2022-07-29 19:18:30,202,18,Rest??? There was only Ananya bro! Which show are you watching #koffewquotetweet https://t.co/ghpYU6yY9o
1553097411366510592,2022-07-29 19:17:32,236,18,What am immaculate breakdown! Well observed and articulated! Maybe you can be on our team? #koffeequotetweet https://t.co/sSLgRCORsM
1553096859635159040,2022-07-29 19:15:21,111,6,You don’t ?? #koffeequotetweet https://t.co/5K4qQobgjI
1553096565006290944,2022-07-29 19:14:10,87,5,Like my own love life! Maybe that’s why! Any suggestions Ma’m? #koffeequotetweet https://t.co/iFTlkkQ2Oa
1553096303927734272,2022-07-29 19:13:08,114,2,I have been. Allows many names! But never a dictionary! #koffeequotetweet https://t.co/XcHGTWNb4Z
1553095954844114944,2022-07-29 19:11:45,151,10,She’s a great kid!! And super fun as well #koffeequotetweet https://t.co/l85C7t3YGk
1553095771314040832,2022-07-29 19:11:01,92,8,Hey hehe ! We are not that cheap! Maybe just a little 😉 #koffeequotetweet https://t.co/2jWbjFaV71
1553095558968930304,2022-07-29 19:10:11,273,33,Suno suno! Liger in the house! #koffeequotetweet https://t.co/g9Qs3CWaaK
1553095283013169152,2022-07-29 19:09:05,232,52,I love you for saying that! I absolutely agree ! #somuchmorethancheese #koffeequotetweet https://t.co/NEp6DZ20nw
1553095059116961792,2022-07-29 19:08:11,720,99,Please don’t be sad about that! It’s a good name to take my friend! You try it! May turn out to be luck for you as it is for me! #aliaforever #koffeequotetweet https://t.co/skwdN2xsjQ
1553094487546613760,2022-07-29 19:05:55,74,4,I love Seema Taparia! Matchmaking is bringing people together Ma’m! It’s a Noble back up job to have ! #koffeequotetweet https://t.co/RL5sxJQbkg
1553094091994382336,2022-07-29 19:04:21,187,26,The cheese and Vijay comparison is here to stay!😉 #koffeequotetweet https://t.co/ShixH1dBWV
1552859072277663746,2022-07-29 03:30:28,103,4,@MikeTyson @RonitBoseRoy @IamVishuReddy @sagar_singer @EricnPillai #Subbu @SonyMusicSouth @AAFilmsIndia
1552859066078498816,2022-07-29 03:30:26,758,108,"India!
Aag hain andar🔥
#WaatLagaDenge - https://t.co/rU1jqYwgkW

#LIGER 
#LigerOnAug25th 

@TheDeverakonda @ananyapandayy #PuriJagannadh @Charmmeofficial @apoorvamehta18 @sunilkashyapwav @meramyakrishnan @DharmaMovies @PuriConnects @sonymusicindia https://t.co/tmdJCgmdZx"
